description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Not Ethereal Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1				100					4	"lbl,mag,upg,noe"	jew	r07	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
1 Not Ethereal Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1				100					4	"kit,mag,upg,noe"	jew	r04	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
1 Not Ethereal Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1				100					4	"brs,mag,upg,noe"	jew	r05	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
1 Not Ethereal Magic Amulet + 1 Jewel + 1 Thul Rune + 1 Perfect Emerald -> Safety Amulet	1				100					4	"amul,mag,noe"	jew	r10	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
1 Not Ethereal Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Emerald -> Safety Ring	1				100					4	"ring,mag,noe"	jew	r11	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
1 Not Ethereal Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1				100					4	"spea,mag,noe"	jew	r12	gpg				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
3 Thul Runes -> Amn Rune	1				100					3	"r10,qty=3"							r11																																																																																							0
3 Amn Runes -> Sol Rune	1				100					3	"r11,qty=3"							r12																																																																																							0
3 Sol Runes -> Shael Rune	1				100					3	"r12,qty=3"							r13																																																																																							0
3 Shael Runes -> Dol Rune	1				100					3	"r13,qty=3"							r14																																																																																							0
3 Dol Runes -> Hel Rune	1				100					3	"r14,qty=3"							r15																																																																																							0
3 Hel Runes -> Io Rune	1				100					3	"r15,qty=3"							r16																																																																																							0
3 Io Runes -> Lum Rune	1				100					3	"r16,qty=3"							r17																																																																																							0
3 Lum Runes -> Ko Rune	1				100					3	"r17,qty=3"							r18																																																																																							0
3 Ko Runes -> Fal Rune	1				100					3	"r18,qty=3"							r19																																																																																							0
3 Fal Runes -> Lem Rune	1				100					3	"r19,qty=3"							r20																																																																																							0
3 Lem Runes -> Pul Rune	1				100					3	"r20,qty=3"							r21																																																																																							0
2 Pul Runes -> Um Rune	1				100					2	"r21,qty=2"							r22																																																																																							0
2 Um Runes -> Mal Rune	1				100					2	"r22,qty=2"							r23																																																																																							0
2 Mal Runes -> Ist Rune	1				100					2	"r23,qty=2"							r24																																																																																							0
2 Ist Runes -> Gul Rune	1				100					2	"r24,qty=2"							r25																																																																																							0
2 Gul Runes -> Vex Rune	1				100					2	"r25,qty=2"							r26																																																																																							0
2 Vex Runes -> Ohm Rune	1				100					2	"r26,qty=2"							r27																																																																																							0
2 Ohm Runes -> Lo Rune	1				100					2	"r27,qty=2"							r28																																																																																							0
2 Lo Runes -> Sur Rune	1				100					2	"r28,qty=2"							r29																																																																																							0
2 Sur Runes -> Ber Rune	1				100					2	"r29,qty=2"							r30																																																																																							0
2 Ber Runes -> Jah Rune	1				100					2	"r30,qty=2"							r31																																																																																							0
2 Jah Runes -> Cham Rune	1				100					2	"r31,qty=2"							r32																																																																																							0
2 Cham Runes -> Zod Rune	1				100					2	"r32,qty=2"							r33																																																																																							0
1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	1				100					4	"tors,nor,nos"	r07	r10	gpy				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	1				100					4	"weap,nor,nos"	r08	r11	gpv				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	1				100					4	"helm,nor,nos"	r08	r10	gpb				useitem				sock			1	6																																																																															0
1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	1				100					4	"shld,nor,nos"	r07	r11	gpr				useitem				sock			1	6																																																																															0
1 Eld Rune + 1 Chipped Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	1				100					3	"weap,low"	r02	gem0					"usetype,nor"																																																																																							0
1 El Rune + 1 Chipped Gem (Any) + 1 Low Quality Armor -> Normal Armor	1				100					3	"armo,low"	r01	gem0					"usetype,nor"																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Unique Weapon -> Exceptional Unique Weapon	1				100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Unique Armor -> Exceptional Unique Armor	1				100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Unique Weapon -> Elite Unique Weapon	1				100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Unique Armor -> Elite Unique Armor	1				100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Normal Rare Weapon -> Exceptional Rare Weapon	1				100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Normal Rare Armor -> Exceptional Rare Armor	1				100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Rare Weapon -> Elite Rare Weapon	1				100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Exceptional Rare Armor -> Elite Rare Armor	1				100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1				100					2	"weap,noe"	r09						"useitem,rep,qty=255"																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1				100					2	"armo,noe"	r08						"useitem,rep,qty=255"																																																																																							0
1 Ort Rune + 1 Chipped Gem (Any) + 1 Weapon -> Fully Repaired and Recharged Weapon	1				100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
1 Ral Rune + 1 Flawed Gem (Any) + 1 Armor -> Fully Repaired and Recharged Armor	1				100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
1 Hel Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item	1				100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Armor -> Tempered Armor					100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Weapon -> Tempered Weapon					100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
1 Ral Rune + 1 Jewel + Magic Ring -> Tempered Ring					100					3	"ring,mag"	jew	r08					"usetype,tmp"				levelreq			3	3																																																																															0
1 Ral Rune + 1 Jewel + 1 Magic Amulet -> Tempered Amulet					100					3	"amu,mag"	jew	r08					"usetype,tmp"				levelreq			5	5																																																																															0
1 El Rune + 1 Chipped Gem (Any) + 1 Tempered Weapon -> Weapon With Extra Attack Rating					100					3	"weap,tmp"	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
3 Chipped Gems (Any) + 1 Magic Weapon -> Socketed Magic Weapon	1				0					4	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	sock			1	2																																																																															0
1 Key of Terror + 1 Key of Hate + 1 Key of Destruction -> Portal to Matron's Den/Forgotten Sands/Furnace of Pain (Random)	1				100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
1 Diablo's Horn + 1 Baal's Eye + 1 Mephisto's Brain -> Portal to Tristram (Pandemonium Finale)	1				100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction -> Token of Absolution	1				100					4	tes	ceh	bet	fed				toa																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Set Weapon -> Exceptional Set Weapon	1				100					4	"weap,bas,set"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Set Armor -> Exceptional Set Armor	1				100					4	"armo,bas,set"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Set Weapon -> Elite Set Weapon	1				100					4	"weap,exc,set"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Set Armor -> Elite Set Armor	1				100					4	"armo,exc,set"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1	1				100					1	r11							cont_cs	100	100	100	Add_one			1	1																																																																															0
2	1				100					1	r30							cont_ct	100	100	100	Add_one			1	1																																																																															0
3	1				100					1	r32							cont_cu	100	100	100	Add_one			1	1																																																																															0
4	1				100					1	r14							cont_cv	100	100	100	Add_one			1	1																																																																															0
5	1				100					1	r02							cont_cw	100	100	100	Add_one			1	1																																																																															0
6	1				100					1	r01							cont_cx	100	100	100	Add_one			1	1																																																																															0
7	1				100					1	r05							cont_cy	100	100	100	Add_one			1	1																																																																															0
8	1				100					1	r19							cont_cz	100	100	100	Add_one			1	1																																																																															0
9	1				100					1	r25							cont_da	100	100	100	Add_one			1	1																																																																															0
10	1				100					1	r15							cont_db	100	100	100	Add_one			1	1																																																																															0
11	1				100					1	r16							cont_dc	100	100	100	Add_one			1	1																																																																															0
12	1				100					1	r24							cont_dd	100	100	100	Add_one			1	1																																																																															0
13	1				100					1	r06							cont_de	100	100	100	Add_one			1	1																																																																															0
14	1				100					1	r31							cont_df	100	100	100	Add_one			1	1																																																																															0
15	1				100					1	r18							cont_dg	100	100	100	Add_one			1	1																																																																															0
16	1				100					1	r20							cont_dh	100	100	100	Add_one			1	1																																																																															0
17	1				100					1	r28							cont_di	100	100	100	Add_one			1	1																																																																															0
18	1				100					1	r17							cont_dj	100	100	100	Add_one			1	1																																																																															0
19	1				100					1	r23							cont_dk	100	100	100	Add_one			1	1																																																																															0
20	1				100					1	r04							cont_dl	100	100	100	Add_one			1	1																																																																															0
21	1				100					1	r27							cont_dn	100	100	100	Add_one			1	1																																																																															0
22	1				100					1	r09							cont_do	100	100	100	Add_one			1	1																																																																															0
23	1				100					1	r21							cont_dp	100	100	100	Add_one			1	1																																																																															0
24	1				100					1	r08							cont_dq	100	100	100	Add_one			1	1																																																																															0
25	1				100					1	r13							cont_dr	100	100	100	Add_one			1	1																																																																															0
26	1				100					1	r12							cont_dt	100	100	100	Add_one			1	1																																																																															0
27	1				100					1	r29							cont_du	100	100	100	Add_one			1	1																																																																															0
28	1				100					1	r07							cont_dv	100	100	100	Add_one			1	1																																																																															0
29	1				100					1	r10							cont_dw	100	100	100	Add_one			1	1																																																																															0
30	1				100					1	r03							cont_dx	100	100	100	Add_one			1	1																																																																															0
31	1				100					1	r22							cont_dy	100	100	100	Add_one			1	1																																																																															0
32	1				100					1	r26							cont_dz	100	100	100	Add_one			1	1																																																																															0
33	1				100					1	r33							cont_ea	100	100	100	Add_one			1	1																																																																															0
34	1				100					1	gpb							cont_cf	100	100	100	Add_one			1	1																																																																															0
35	1				100					1	gpg							cont_cg	100	100	100	Add_one			1	1																																																																															0
36	1				100					1	gpr							cont_ch	100	100	100	Add_one			1	1																																																																															0
37	1				100					1	gpv							cont_ci	100	100	100	Add_one			1	1																																																																															0
38	1				100					1	gpw							cont_cj	100	100	100	Add_one			1	1																																																																															0
39	1				100					1	gpy							cont_ck	100	100	100	Add_one			1	1																																																																															0
40	1				100					1	skz							cont_ed	100	100	100	Add_one			1	1																																																																															0
1	1				100	16	361	2036		2	cont_cs	r11						useitem	99	0	0	Add_one			1	1																																																																															0
2	1				100	16	361	2036		2	cont_ct	r30						useitem	99	0	0	Add_one			1	1																																																																															0
3	1				100	16	361	2036		2	cont_cu	r32						useitem	99	0	0	Add_one			1	1																																																																															0
4	1				100	16	361	2036		2	cont_cv	r14						useitem	99	0	0	Add_one			1	1																																																																															0
5	1				100	16	361	2036		2	cont_cw	r02						useitem	99	0	0	Add_one			1	1																																																																															0
6	1				100	16	361	2036		2	cont_cx	r01						useitem	99	0	0	Add_one			1	1																																																																															0
7	1				100	16	361	2036		2	cont_cy	r05						useitem	99	0	0	Add_one			1	1																																																																															0
8	1				100	16	361	2036		2	cont_cz	r19						useitem	99	0	0	Add_one			1	1																																																																															0
9	1				100	16	361	2036		2	cont_da	r25						useitem	99	0	0	Add_one			1	1																																																																															0
10	1				100	16	361	2036		2	cont_db	r15						useitem	99	0	0	Add_one			1	1																																																																															0
11	1				100	16	361	2036		2	cont_dc	r16						useitem	99	0	0	Add_one			1	1																																																																															0
12	1				100	16	361	2036		2	cont_dd	r24						useitem	99	0	0	Add_one			1	1																																																																															0
13	1				100	16	361	2036		2	cont_de	r06						useitem	99	0	0	Add_one			1	1																																																																															0
14	1				100	16	361	2036		2	cont_df	r31						useitem	99	0	0	Add_one			1	1																																																																															0
15	1				100	16	361	2036		2	cont_dg	r18						useitem	99	0	0	Add_one			1	1																																																																															0
16	1				100	16	361	2036		2	cont_dh	r20						useitem	99	0	0	Add_one			1	1																																																																															0
17	1				100	16	361	2036		2	cont_di	r28						useitem	99	0	0	Add_one			1	1																																																																															0
18	1				100	16	361	2036		2	cont_dj	r17						useitem	99	0	0	Add_one			1	1																																																																															0
19	1				100	16	361	2036		2	cont_dk	r23						useitem	99	0	0	Add_one			1	1																																																																															0
20	1				100	16	361	2036		2	cont_dl	r04						useitem	99	0	0	Add_one			1	1																																																																															0
21	1				100	16	361	2036		2	cont_dn	r27						useitem	99	0	0	Add_one			1	1																																																																															0
22	1				100	16	361	2036		2	cont_do	r09						useitem	99	0	0	Add_one			1	1																																																																															0
23	1				100	16	361	2036		2	cont_dp	r21						useitem	99	0	0	Add_one			1	1																																																																															0
24	1				100	16	361	2036		2	cont_dq	r08						useitem	99	0	0	Add_one			1	1																																																																															0
25	1				100	16	361	2036		2	cont_dr	r13						useitem	99	0	0	Add_one			1	1																																																																															0
26	1				100	16	361	2036		2	cont_dt	r12						useitem	99	0	0	Add_one			1	1																																																																															0
27	1				100	16	361	2036		2	cont_du	r29						useitem	99	0	0	Add_one			1	1																																																																															0
28	1				100	16	361	2036		2	cont_dv	r07						useitem	99	0	0	Add_one			1	1																																																																															0
29	1				100	16	361	2036		2	cont_dw	r10						useitem	99	0	0	Add_one			1	1																																																																															0
30	1				100	16	361	2036		2	cont_dx	r03						useitem	99	0	0	Add_one			1	1																																																																															0
31	1				100	16	361	2036		2	cont_dy	r22						useitem	99	0	0	Add_one			1	1																																																																															0
32	1				100	16	361	2036		2	cont_dz	r26						useitem	99	0	0	Add_one			1	1																																																																															0
33	1				100	16	361	2036		2	cont_ea	r33						useitem	99	0	0	Add_one			1	1																																																																															0
34	1				100	16	361	2036		2	cont_cf	gpb						useitem	99	0	0	Add_one			1	1																																																																															0
35	1				100	16	361	2036		2	cont_cg	gpg						useitem	99	0	0	Add_one			1	1																																																																															0
36	1				100	16	361	2036		2	cont_ch	gpr						useitem	99	0	0	Add_one			1	1																																																																															0
37	1				100	16	361	2036		2	cont_ci	gpv						useitem	99	0	0	Add_one			1	1																																																																															0
38	1				100	16	361	2036		2	cont_cj	gpw						useitem	99	0	0	Add_one			1	1																																																																															0
39	1				100	16	361	2036		2	cont_ck	gpy						useitem	99	0	0	Add_one			1	1																																																																															0
40	1				100	16	361	2036		2	cont_ed	skz						useitem	99	0	0	Add_one			1	1																																																																															0
1	1				100	15	361	2		1	cont_cs							useitem	99	0	0	Add_one			-1	-1																					r11																																																										0
2	1				100	15	361	2		1	cont_ct							useitem	99	0	0	Add_one			-1	-1																					r30																																																										0
3	1				100	15	361	2		1	cont_cu							useitem	99	0	0	Add_one			-1	-1																					r32																																																										0
4	1				100	15	361	2		1	cont_cv							useitem	99	0	0	Add_one			-1	-1																					r14																																																										0
5	1				100	15	361	2		1	cont_cw							useitem	99	0	0	Add_one			-1	-1																					r02																																																										0
6	1				100	15	361	2		1	cont_cx							useitem	99	0	0	Add_one			-1	-1																					r01																																																										0
7	1				100	15	361	2		1	cont_cy							useitem	99	0	0	Add_one			-1	-1																					r05																																																										0
8	1				100	15	361	2		1	cont_cz							useitem	99	0	0	Add_one			-1	-1																					r19																																																										0
9	1				100	15	361	2		1	cont_da							useitem	99	0	0	Add_one			-1	-1																					r25																																																										0
10	1				100	15	361	2		1	cont_db							useitem	99	0	0	Add_one			-1	-1																					r15																																																										0
11	1				100	15	361	2		1	cont_dc							useitem	99	0	0	Add_one			-1	-1																					r16																																																										0
12	1				100	15	361	2		1	cont_dd							useitem	99	0	0	Add_one			-1	-1																					r24																																																										0
13	1				100	15	361	2		1	cont_de							useitem	99	0	0	Add_one			-1	-1																					r06																																																										0
14	1				100	15	361	2		1	cont_df							useitem	99	0	0	Add_one			-1	-1																					r31																																																										0
15	1				100	15	361	2		1	cont_dg							useitem	99	0	0	Add_one			-1	-1																					r18																																																										0
16	1				100	15	361	2		1	cont_dh							useitem	99	0	0	Add_one			-1	-1																					r20																																																										0
17	1				100	15	361	2		1	cont_di							useitem	99	0	0	Add_one			-1	-1																					r28																																																										0
18	1				100	15	361	2		1	cont_dj							useitem	99	0	0	Add_one			-1	-1																					r17																																																										0
19	1				100	15	361	2		1	cont_dk							useitem	99	0	0	Add_one			-1	-1																					r23																																																										0
20	1				100	15	361	2		1	cont_dl							useitem	99	0	0	Add_one			-1	-1																					r04																																																										0
21	1				100	15	361	2		1	cont_dn							useitem	99	0	0	Add_one			-1	-1																					r27																																																										0
22	1				100	15	361	2		1	cont_do							useitem	99	0	0	Add_one			-1	-1																					r09																																																										0
23	1				100	15	361	2		1	cont_dp							useitem	99	0	0	Add_one			-1	-1																					r21																																																										0
24	1				100	15	361	2		1	cont_dq							useitem	99	0	0	Add_one			-1	-1																					r08																																																										0
25	1				100	15	361	2		1	cont_dr							useitem	99	0	0	Add_one			-1	-1																					r13																																																										0
26	1				100	15	361	2		1	cont_dt							useitem	99	0	0	Add_one			-1	-1																					r12																																																										0
27	1				100	15	361	2		1	cont_du							useitem	99	0	0	Add_one			-1	-1																					r29																																																										0
28	1				100	15	361	2		1	cont_dv							useitem	99	0	0	Add_one			-1	-1																					r07																																																										0
29	1				100	15	361	2		1	cont_dw							useitem	99	0	0	Add_one			-1	-1																					r10																																																										0
30	1				100	15	361	2		1	cont_dx							useitem	99	0	0	Add_one			-1	-1																					r03																																																										0
31	1				100	15	361	2		1	cont_dy							useitem	99	0	0	Add_one			-1	-1																					r22																																																										0
32	1				100	15	361	2		1	cont_dz							useitem	99	0	0	Add_one			-1	-1																					r26																																																										0
33	1				100	15	361	2		1	cont_ea							useitem	99	0	0	Add_one			-1	-1																					r33																																																										0
34	1				100	15	361	2		1	cont_cf							useitem	99	0	0	Add_one			-1	-1																					gpb																																																										0
35	1				100	15	361	2		1	cont_cg							useitem	99	0	0	Add_one			-1	-1																					gpg																																																										0
36	1				100	15	361	2		1	cont_ch							useitem	99	0	0	Add_one			-1	-1																					gpr																																																										0
37	1				100	15	361	2		1	cont_ci							useitem	99	0	0	Add_one			-1	-1																					gpv																																																										0
38	1				100	15	361	2		1	cont_cj							useitem	99	0	0	Add_one			-1	-1																					gpw																																																										0
39	1				100	15	361	2		1	cont_ck							useitem	99	0	0	Add_one			-1	-1																					gpy																																																										0
40	1				100	15	361	2		1	cont_ed							useitem	99	0	0	Add_one			-1	-1																					skz																																																										0
1	1				100	16	361	2035		3	cont_cs	"r11,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
2	1				100	16	361	2035		3	cont_ct	"r30,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
3	1				100	16	361	2035		3	cont_cu	"r32,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
4	1				100	16	361	2035		3	cont_cv	"r14,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
5	1				100	16	361	2035		3	cont_cw	"r02,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
6	1				100	16	361	2035		3	cont_cx	"r01,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
7	1				100	16	361	2035		3	cont_cy	"r05,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
8	1				100	16	361	2035		3	cont_cz	"r19,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
9	1				100	16	361	2035		3	cont_da	"r25,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
10	1				100	16	361	2035		3	cont_db	"r15,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
11	1				100	16	361	2035		3	cont_dc	"r16,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
12	1				100	16	361	2035		3	cont_dd	"r24,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
13	1				100	16	361	2035		3	cont_de	"r06,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
14	1				100	16	361	2035		3	cont_df	"r31,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
15	1				100	16	361	2035		3	cont_dg	"r18,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
16	1				100	16	361	2035		3	cont_dh	"r20,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
17	1				100	16	361	2035		3	cont_di	"r28,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
18	1				100	16	361	2035		3	cont_dj	"r17,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
19	1				100	16	361	2035		3	cont_dk	"r23,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
20	1				100	16	361	2035		3	cont_dl	"r04,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
21	1				100	16	361	2035		3	cont_dn	"r27,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
22	1				100	16	361	2035		3	cont_do	"r09,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
23	1				100	16	361	2035		3	cont_dp	"r21,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
24	1				100	16	361	2035		3	cont_dq	"r08,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
25	1				100	16	361	2035		3	cont_dr	"r13,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
26	1				100	16	361	2035		3	cont_dt	"r12,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
27	1				100	16	361	2035		3	cont_du	"r29,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
28	1				100	16	361	2035		3	cont_dv	"r07,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
29	1				100	16	361	2035		3	cont_dw	"r10,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
30	1				100	16	361	2035		3	cont_dx	"r03,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
31	1				100	16	361	2035		3	cont_dy	"r22,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
32	1				100	16	361	2035		3	cont_dz	"r26,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
33	1				100	16	361	2035		3	cont_ea	"r33,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
34	1				100	16	361	2035		3	cont_cf	"gpb,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
35	1				100	16	361	2035		3	cont_cg	"gpg,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
36	1				100	16	361	2035		3	cont_ch	"gpr,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
37	1				100	16	361	2035		3	cont_ci	"gpv,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
38	1				100	16	361	2035		3	cont_cj	"gpw,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
39	1				100	16	361	2035		3	cont_ck	"gpy,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
40	1				100	16	361	2035		3	cont_ed	"skz,qty=2"						useitem	99	0	0	Add_one			2	2																																																																															0
1	1				100	16	361	2034		4	cont_cs	"r11,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
2	1				100	16	361	2034		4	cont_ct	"r30,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
3	1				100	16	361	2034		4	cont_cu	"r32,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
4	1				100	16	361	2034		4	cont_cv	"r14,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
5	1				100	16	361	2034		4	cont_cw	"r02,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
6	1				100	16	361	2034		4	cont_cx	"r01,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
7	1				100	16	361	2034		4	cont_cy	"r05,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
8	1				100	16	361	2034		4	cont_cz	"r19,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
9	1				100	16	361	2034		4	cont_da	"r25,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
10	1				100	16	361	2034		4	cont_db	"r15,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
11	1				100	16	361	2034		4	cont_dc	"r16,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
12	1				100	16	361	2034		4	cont_dd	"r24,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
13	1				100	16	361	2034		4	cont_de	"r06,qty=3"						useitem	99	0	0	Add_one			3	3																																																																															0
